0,-5.0,732.0
1,-4.6552,563.2987
2,-4.3103,426.4982
3,-3.9655,317.1872
4,-3.6207,231.2938
5,-3.2759,165.0853
6,-2.931,115.1685
7,-2.5862,78.4894
8,-2.2414,52.3335
9,-1.8966,34.3254
10,-1.5517,22.4291
11,-1.2069,14.9481
12,-0.8621,10.5249
13,-0.5172,8.1417
14,-0.1724,7.1198
15,0.1724,7.1198
16,0.5172,8.1417
17,0.8621,10.5249
18,1.2069,14.9481
19,1.5517,22.4291
20,1.8966,34.3254
21,2.2414,52.3335
22,2.5862,78.4894
23,2.931,115.1685
24,3.2759,165.0853
25,3.6207,231.2938
26,3.9655,317.1872
27,4.3103,426.4982
28,4.6552,563.2987
29,5.0,732.0
