0,-5.0,40044.5
1,-4.6552,26785.269
2,-4.3103,17433.4497
3,-3.9655,11000.7403
4,-3.6207,6701.0403
5,-3.2759,3920.5228
6,-2.931,2190.1267
7,-2.5862,1160.4707
8,-2.2414,579.1874
9,-1.8966,270.6785
10,-1.5517,118.2918
11,-1.2069,48.9173
12,-0.8621,20.006
13,-0.5172,9.0082
14,-0.1724,5.2336
15,0.1724,4.132
16,0.5172,3.9947
17,0.8621,5.0767
18,1.2069,11.1404
19,1.5517,33.4199
20,1.8966,97.0055
21,2.2414,249.6502
22,2.5862,572.9963
23,2.931,1196.2233
24,3.2759,2312.1166
25,3.6207,4195.5567
26,3.9655,7224.4299
27,4.3103,11902.9594
28,4.6552,18887.4579
29,5.0,29014.5
